INDEX, area_2000, area_r,   area_frac,            coast_length, coast_r,  coast_meanrat,      dryland_loss,       max_dryland_loss, DEM,   land_value, wetland_loss_SLR,   wetland_loss_coastalsqueeze, exposed_wetland,     W_1990,            coast_protection_cost
AUS,   7633565,   7896008,  0.966762571669127,    25760,        40894,    1.25984251968504,   3818.33154290736,   7630496.68085989, 0.548, 1514759,    311.799960122578,   222.888252743874,            3058.31914010857,    67457.9700912636,  46.1102362204724
NZL,   262443,    7896008,  0.033237428330873,    15134,        40894,    0.740157480314961,  77.1239193293305,   262371.227061743, 0.548, 1514759,    6.29783838861518,   4.50197041061164,            61.772938257081,     1362.53831941414,  27.0897637795276
BLZ,   22806,     2331921,  0.00977991964564837,  386,          15035,    0.179714000665115,  21.0980921823767,   22700.5998545845, 0.678, 509083,     25.9683698762592,   0.418306059597271,           95.4001454154634,    133.578957050791,  7.60190222813435
CRI,   51060,     2331921,  0.0218961105457689,   1290,         15035,    0.600598603259062,  157.86188402078,    50336.1891700463, 0.678, 509083,     194.302677141539,   3.12988407172157,            713.810829953677,    999.475480687439,  25.4053209178583
SLV,   20721,     2331921,  0.00888580702347978,  307,          15035,    0.142933155969405,  15.2459976001776,   20642.061520848,  0.678, 509083,     18.7653794187458,   0.302278193005854,           68.9384791519528,    96.5274225283615,  6.04607249750582
GTM,   107159,    2331921,  0.0459531004695271,   400,          15035,    0.18623212504157,   102.729554406476,   106684.483381904, 0.678, 509083,     126.443615990977,   2.03679056553993,            464.516618096394,    650.414578592659,  7.8776188892584
HND,   111890,    2331921,  0.0479818999014118,   832,          15035,    0.387362820086465,  223.111194323244,   110871.148574086, 0.678, 509083,     274.614119970504,   4.42356416602232,            1008.85142591397,    1412.59031321087,  16.3854472896575
MEX,   1943945,   2331921,  0.833623866331664,    9330,         15035,    4.34386431659461,   43468.2721929027,   1747382.6552517,  0.678, 509083,     53502.4759788518,   861.833454007901,            196552.344748298,    275211.920307089,  183.745460591952
PAN,   74340,     2331921,  0.0318792960825002,   2490,         15035,    1.15929497838377,   443.637924385675,   72323.9834307123, 0.678, 509083,     546.047178673638,   8.79588687135876,            2006.01656928774,    2808.81753361173,  49.0381775856335
CAN,   9093507,   9093507,  1,                    202080,       202080,   1,                  970,                9093497,          0.261, 1170585,    0,                  0,                           0,                   130509.75,         13
BIH,   51187,     1119672,  0.0457160668481484,   20,           7647.1,   0.0313844463914425, 2.71028704558284,   51176.9928261328, 0.193, 220274,     0.054521391070486,  0,                           0.00717386724611657, 16.2095108676798,  0.0972917838134718
BGR,   108489,    1119672,  0.0968935545409727,   354,          7647.1,   0.555504701128532,  101.67509453185,    108478.730875875, 0.193, 220274,     2.04534335214944,   0,                           0.269124125282821,   608.09188180729,   1.72206457349845
HRV,   55974,     1119672,  0.0499914260604891,   6268,         7647.1,   9.83588549907808,   928.840081697206,   55961.5414502867, 0.193, 220274,     18.6849778213308,   0,                           2.458549713333,      5555.1471653696,   30.4912450471421
CZE,   77247,     1119672,  0.0689907401453283,   0,            7647.1,   0,                  0,                  77237,            0.193, 220274,     0,                  0,                           0,                   0,                 0
HUN,   89608,     1119672,  0.0800305803842554,   0,            7647.1,   0,                  0,                  89598,            0.193, 220274,     0,                  0,                           0,                   0,                 0
MKD,   25433,     1119672,  0.0227146878728771,   0,            7647.1,   0,                  0,                  25423,            0.193, 220274,     0,                  0,                           0,                   0,                 0
MNE,   13452,     1119672,  0.012014232739588,    293.5,        7647.1,   0.460566750794419,  10.4525097412062,   13441.9723332193, 0.193, 220274,     0.210267533174079,  0,                           0.0276667806807999,  62.5136996174424,  1.4277569274627
POL,   311888,    1119672,  0.278553004808551,    440,          7647.1,   0.690457820611735,  363.309671080554,   311877.038354497, 0.193, 220274,     7.30850582374857,   0,                           0.961645503124812,   2172.85917051158,  2.14041924389638
ROU,   229891,    1119672,  0.205319950842747,    225,          7647.1,   0.353075021903728,  136.939930860491,   229880.637533269, 0.193, 220274,     2.75474715336086,   0,                           0.362466730705376,   819.001552296873,  1.09453256790156
SRB,   88246,     1119672,  0.0788141527161526,   0,            7647.1,   0,                  0,                  88236,            0.193, 220274,     0,                  0,                           0,                   0,                 0
SVK,   48105,     1119672,  0.0429634750176838,   0,            7647.1,   0,                  0,                  48095,            0.193, 220274,     0,                  0,                           0,                   0,                 0
SVN,   20152,     1119672,  0.0179981280232068,   46.6,         7647.1,   0.0731257600920611, 2.48616350995808,   20141.993419366,  0.193, 220274,     0.0500128180933864, 0,                           0.00658063395965611, 14.8690872057901,  0.226689856285389
CHN,   9326410,   10879966, 0.857209480250214,    14500,        14500,    2,                  60004.663617515,    9293599.7364477,  0.708, 973897,     10079.069068782,    3049.95133073026,            32800.2635522942,    53698.3449132102,  236.8
MNG,   1553556,   10879966, 0.142790519749786,    0,            14500,    0,                  0,                  1553546,          0.708, 973897,     0,                  0,                           0,                   0,                 0
ARM,   29843,     21438378, 0.00139203628184931,  0,            45127,    0,                  0,                  29833,            0.555, 5527204,    0,                  0,                           0,                   0,                 0
AZE,   86100,     21438378, 0.00401616204360237,  0,            45127,    0,                  0,                  86090,            0.555, 5527204,    0,                  0,                           0,                   0,                 0
BLR,   202900,    21438378, 0.00946433540821045,  0,            45127,    0,                  0,                  202890,           0.555, 5527204,    0,                  0,                           0,                   0,                 0
EST,   42388,     21438378, 0.00197720182002575,  3794,         45127,    1.26110754094001,   37.7460599271988,   42378,            0.555, 5527204,    0,                  0,                           0,                   296.611620829587,  68.0998072107607
GEO,   69700,     21438378, 0.00325117879720192,  310,          45127,    0.10304252443105,   5.07137639415423,   69690,            0.555, 5527204,    0,                  0,                           0,                   39.8512897772169,  5.56429631927671
KAZ,   2699700,   21438378, 0.125928370140689,    0,            45127,    0,                  0,                  2699690,          0.555, 5527204,    0,                  0,                           0,                   0,                 0
KGZ,   191801,    21438378, 0.00894661900261298,  0,            45127,    0,                  0,                  191791,           0.555, 5527204,    0,                  0,                           0,                   0,                 0
LVA,   62249,     21438378, 0.00290362451860864,  498,          45127,    0.165532829569881,  7.27600677380173,   62239,            0.555, 5527204,    0,                  0,                           0,                   57.1754553059797,  8.93877279677355
LTU,   62680,     21438378, 0.0029237286514866,   90,           45127,    0.0299155716090146, 1.32404537949289,   62670,            0.555, 5527204,    0,                  0,                           0,                   10.4044566988122,  1.61544086688679
MDA,   32891,     21438378, 0.00153421121691203,  0,            45127,    0,                  0,                  32881,            0.555, 5527204,    0,                  0,                           0,                   0,                 0
RUS,   16377742,  21438378, 0.763945014870062,    37653,        45127,    12.5156779754914,   144738.804948434,   16377732,         0.555, 5527204,    0,                  0,                           0,                   1137369.34703899,  675.846610676535
TJK,   131510,    21438378, 0.00613432602037337,  0,            45127,    0,                  0,                  131500,           0.555, 5527204,    0,                  0,                           0,                   0,                 0
TKM,   469930,    21438378, 0.0219200351817661,   0,            45127,    0,                  0,                  469920,           0.555, 5527204,    0,                  0,                           0,                   0,                 0
UKR,   553544,    21438378, 0.0258202369600909,   2782,         45127,    0.92472355795865,   361.443689067752,   553534,           0.555, 5527204,    0,                  0,                           0,                   2840.254020149,    49.9350721297671
UZB,   425400,    21438378, 0.0198429190865092,   0,            45127,    0,                  0,                  425390,           0.555, 5527204,    0,                  0,                           0,                   0,                 0
JPN,   364485,    464394,   0.784861561518883,    29751,        32164,    1.84995647307549,   3901.41578429938,   359011.275550309, 0.412, 171553,     831.972923112596,   10.1637180833999,            5463.72444969057,    6693.31654382303,  139.671713717199
KOR,   99909,     464394,   0.215138438481117,    2413,         32164,    0.150043526924512,  86.7367095430676,   99777.5298704836, 0.412, 171553,     18.4965145397014,   0.225960910607173,           121.470129516399,    148.806557680354,  11.3282862828006
BHR,   765,       6058913,  0.000126260271438128, 161,          18276,    0.114521777194134,  0.0234389316427294, 754.997975662906, 0.628, 601498,     0,                  0,                           0.00202433709437514, 0.234925042779769, 2.16446158896914
IRN,   1531595,   6058913,  0.252783791416051,    2440,         18276,    1.73560954256949,   711.18775011411,    1531523.57724552, 0.628, 601498,     0,                  0,                           61.4227544824031,    7128.13259438091,  32.8030203545634
IRQ,   437367,    6058913,  0.0721857204419341,   58,           18276,    0.0412562924053403, 4.82752472305903,   437356.583063873, 0.628, 601498,     0,                  0,                           0.416936126605962,   48.3855863983814,  0.779743926460932
ISR,   20330,     6058913,  0.00335538734423155,  273,          18276,    0.194189100459619,  1.05621061276333,   20319.908778849,  0.628, 601498,     0,                  0,                           0.0912211510097881,  10.5862471536684,  3.6701739986868
JOR,   88802,     6058913,  0.014656424345423,    26,           18276,    0.0184942000437733, 0.439386385752275,  88791.9620517619, 0.628, 601498,     0,                  0,                           0.0379482381278954,  4.40390658768445,  0.349540380827314
KWT,   17818,     6058913,  0.00294079152481642,  499,          18276,    0.354946377763187,  1.69203756847372,   17807.8538647381, 0.628, 601498,     0,                  0,                           0.146135261928637,   16.9590493379833,  6.70848653972423
LBN,   10230,     6058913,  0.00168842166903535,  225,          18276,    0.160045961917269,  0.438034838701354,  10219.9621684902, 0.628, 601498,     0,                  0,                           0.0378315098199812,  4.39036022586233,  3.02486868023638
OMN,   309500,    6058913,  0.0510817699478438,   2092,         18276,    1.48807178813745,   123.21762535172,    309479.358132295, 0.628, 601498,     0,                  0,                           10.6418677046519,    1234.99254779189,  28.1245567957978
QAT,   11586,     6058913,  0.00191222418938843,  563,          18276,    0.400470562486321,  1.24134477419014,   11575.8927894705, 0.628, 601498,     0,                  0,                           0.107210529541406,   12.4418202427551,  7.56889363099146
SAU,   2149690,   6058913,  0.354797964585397,    2640,         18276,    1.87787261982928,   1080.01618627431,   2149586.72284634, 0.628, 601498,     0,                  0,                           93.2771536572507,    10824.8469951931,  35.4917925147735
SYR,   183630,    6058913,  0.0303074165283443,   193,          18276,    0.137283869555701,  6.74452617535824,   183619.417499282, 0.628, 601498,     0,                  0,                           0.582500718414654,   67.5994164079914,  2.59466513460276
TUR,   769632,    6058913,  0.127024765003227,    7200,         18276,    5.12147078135259,   1054.54742202745,   769530.922492854, 0.628, 601498,     0,                  0,                           91.0775071461093,    10569.5772319871,  96.795797767564
YEM,   527968,    6058913,  0.0871390627328697,   1906,         18276,    1.35576712628584,   191.505388479775,   527941.460361266, 0.628, 601498,     0,                  0,                           16.5396387336018,    1919.43098204832,  25.6239986868024
EGY,   995450,    1597110,  0.623282053208608,    2450,         5433,     1.35284373274434,   7044.11969499533,   988755.084876476, 0.337, 445413,     2233.6453282311,    0,                           6684.91512352442,    7845.33139408374,  25.7040309221425
MAR,   446300,    1597110,  0.279442242550607,    1835,         5433,     1.01325234676974,   2365.39757425807,   444045.222412172, 0.337, 445413,     750.052450827103,   0,                           2244.77758782834,    2634.44243600813,  19.2517945886251
TUN,   155360,    1597110,  0.0972757042407849,   1148,         5433,     0.633903920485919,  515.136463691436,   154861.132166131, 0.337, 445413,     163.346479808309,   0,                           488.867833869488,    573.729074153442,  12.0441744892325
ARG,   2736690,   17209650, 0.159020665731145,    4989,         30620,    1.79225996080993,   8381.18238526428,   2657222.78850715, 0.756, 3131627,    7761.86353862303,   1353.21025487927,            79457.2114928491,    112376.93235721,   210.769771391248
BOL,   1083301,   17209650, 0.0629472999160355,   0,            30620,    0,                  0,                  1083291,          0.756, 3131627,    0,                  0,                           0,                   0,                 0
BRA,   8460415,   17209650, 0.491608777633479,    7491,         30620,    2.69108425865447,   38904.3036259315,   8091575.47940364, 0.756, 3131627,    36029.5101488972,   6281.41713251685,            368829.520596357,    521638.367476929,  316.471508817766
CHL,   743812,    17209650, 0.0432206349344699,   6435,         30620,    2.31172436316133,   2938.17672558127,   715946.821726068, 0.756, 3131627,    2721.06318034755,   474.392596764712,            27855.1782739323,    39395.7883227431,  271.858785107773
COL,   1038700,   17209650, 0.0603556725441831,   3208,         30620,    1.15244937949053,   2045.45850474656,   1019298.17417633, 0.756, 3131627,    1894.3114536766,    330.255958803573,            19391.8258236746,    27426.0052413995,  135.528047028086
ECU,   256369,    17209650, 0.0148968166116103,   2237,         30620,    0.803625081645983,  352.044590881916,   253021.465959242, 0.756, 3131627,    326.030618154797,   56.8404705514788,            3337.53404075765,    4720.29951833713,  94.5063096015676
PRY,   397302,    17209650, 0.0230860011679494,   0,            30620,    0,                  0,                  397292,           0.756, 3131627,    0,                  0,                           0,                   0,                 0
PER,   1279996,   17209650, 0.0743766433367326,   2414,         30620,    0.867210973220118,  1896.75859452384,   1262003.91324086, 0.756, 3131627,    1756.5995702813,    306.247145468738,            17982.0867591354,    25432.2006701015,  101.984010450686
SUR,   156000,    17209650, 0.0090646817337947,   386,          30620,    0.138667537557152,  36.9639254257428,   155639.566098773, 0.756, 3131627,    34.2325141988193,   5.96812724594236,            350.43390122652,     495.621304522496,  16.3073024167211
URY,   175015,    17209650, 0.0101695850874364,   660,          30620,    0.237099934683214,  70.9063924793247,   174332.776921627, 0.756, 3131627,    65.6668375822739,   11.4484153940162,            672.223078372612,    950.730160144531,  27.8829523187459
VEN,   882050,    17209650, 0.0512532213031642,   2800,         30620,    1.00587851077727,   1516.06359075618,   867667.065510576, 0.756, 3131627,    1404.03563201462,   244.780832077748,            14372.9344894245,    20327.7494458514,  118.291312867407
BGD,   130168,    4120578,  0.0315897429923666,   580,          9966,     0.349187236604455,  896.522992046156,   129435.67437603,  0.93,  1241785,    157.772603571039,   0,                           722.325623969959,    818.777157958547,  60.0602046959663
BTN,   38394,     4120578,  0.00931762485748359,  0,            9966,     0,                  0,                  38384,            0.93,  1241785,    0,                  0,                           0,                   0,                 0
IND,   2864021,   4120578,  0.695053218262098,    7000,         9966,     4.21432871763998,   238069.327031767,   2672199.32676689, 0.93,  1241785,    41896.1007017577,   0,                           191811.673233112,    217424.124884171,  724.864539434076
NPL,   143351,    4120578,  0.0347890514389001,   0,            9966,     0,                  0,                  143341,           0.93,  1241785,    0,                  0,                           0,                   0,                 0
PAK,   881912,    4120578,  0.214026284662006,    1046,         9966,     0.629741119807345,  10954.3381427189,   873076.12581237,  0.93,  1241785,    1927.77481950549,   0,                           8825.87418763044,    10004.3857562892,  108.315472606863
LKA,   62732,     4120578,  0.0152240777871454,   1340,         9966,     0.806742925948224,  998.212808959256,   61917.7432252343, 0.93,  1241785,    175.668259692947,   0,                           804.256774765659,    911.648506517499,  138.759783263095
